"name","mode","type"
"D_537137982_2_2.D_338020179_2_2","NULLABLE","STRING"
"D_537137982_2_2.D_537137982_2_2","REPEATED","STRING"
"D_537137982_2_2.D_338020179_2","NULLABLE","STRING"
"D_525535977.D_525535977","REPEATED","STRING"
"D_525535977.D_396618548","NULLABLE","STRING"
"D_115616118.D_115616118","REPEATED","STRING"
"D_115616118.D_403180970","NULLABLE","STRING"
"D_671308090.D_206625031","NULLABLE","STRING"
"D_671308090.D_261863326","NULLABLE","STRING"
"D_210325948.D_206625031","NULLABLE","STRING"
"D_210325948.D_261863326","NULLABLE","STRING"
"D_209771602_1_1.D_206625031_1_1","NULLABLE","STRING"
"D_209771602_1_1.D_261863326_1_1","NULLABLE","STRING"
"D_209771602_1_1.D_206625031_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1","NULLABLE","STRING"
"D_209771602_1_1.D_261863326_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1","NULLABLE","STRING"
"D_209771602_2_2.D_206625031_2_2","NULLABLE","STRING"
"D_209771602_2_2.D_206625031_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2","NULLABLE","STRING"
"D_209771602_2_2.D_261863326_2_2","NULLABLE","STRING"
"D_209771602_2_2.D_261863326_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2","NULLABLE","STRING"
"D_518750011.D_802622485","NULLABLE","STRING"
"D_518750011.D_623218391","NULLABLE","STRING"
"D_518750011.D_206625031","NULLABLE","STRING"
"D_518750011.D_261863326","NULLABLE","STRING"
"D_700889863_1_1.D_261863326_1_1","NULLABLE","STRING"
"D_700889863_1_1.D_206625031_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1","NULLABLE","STRING"
"D_700889863_1_1.D_206625031_1_1","NULLABLE","STRING"
"D_301679110.D_261863326","NULLABLE","STRING"
"D_301679110.D_206625031","NULLABLE","STRING"
"D_497311092.D_261863326","NULLABLE","STRING"
"D_497311092.D_206625031","NULLABLE","STRING"
"D_530548878.D_206625031","NULLABLE","STRING"
"D_530548878.D_261863326","NULLABLE","STRING"
"D_521369040.D_206625031","NULLABLE","STRING"
"D_521369040.D_261863326","NULLABLE","STRING"
"D_610382315.D_206625031","NULLABLE","STRING"
"D_610382315.D_261863326","NULLABLE","STRING"
"D_259089008_2_2.D_206625031_2_2","NULLABLE","STRING"
"D_259089008_2_2.D_261863326_2_2","NULLABLE","STRING"
"D_259089008_2_2.D_206625031_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2","NULLABLE","STRING"
"D_869387390_7_7.D_478706011_7_7","NULLABLE","STRING"
"D_869387390_7_7.D_869387390_7_7","REPEATED","STRING"
"D_869387390_7_7.D_478706011_7","NULLABLE","STRING"
"D_460062034.D_206625031","NULLABLE","STRING"
"D_460062034.D_261863326","NULLABLE","STRING"
"D_773974223.D_206625031","NULLABLE","STRING"
"D_773974223.D_261863326","NULLABLE","STRING"
"D_954405492.D_261863326","NULLABLE","STRING"
"D_954405492.D_206625031","NULLABLE","STRING"
"D_980403315.D_206625031","NULLABLE","STRING"
"D_980403315.D_261863326","NULLABLE","STRING"
"D_420423416.D_206625031","NULLABLE","STRING"
"D_420423416.D_261863326","NULLABLE","STRING"
"D_158409298_1_1.D_206625031_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1","NULLABLE","STRING"
"D_158409298_1_1.D_206625031_1_1","NULLABLE","STRING"
"D_158409298_1_1.D_261863326_1_1","NULLABLE","STRING"
"D_308014437.D_308014437","REPEATED","STRING"
"D_308014437.D_440307926","NULLABLE","STRING"
"D_337278854.D_261863326","NULLABLE","STRING"
"D_337278854.D_206625031","NULLABLE","STRING"
"D_580911251.D_206625031","NULLABLE","STRING"
"D_580911251.D_261863326","NULLABLE","STRING"
"D_431628922.D_431628922","REPEATED","STRING"
"D_431628922.D_963867920","NULLABLE","STRING"
"D_103397024.D_206625031","NULLABLE","STRING"
"D_103397024.D_261863326","NULLABLE","STRING"
"D_891925519.D_206625031","NULLABLE","STRING"
"D_891925519.D_261863326","NULLABLE","STRING"
"D_659627058.D_206625031","NULLABLE","STRING"
"D_659627058.D_261863326","NULLABLE","STRING"
"D_409622468.D_206625031","NULLABLE","STRING"
